product_id,product_name,product_category,product_weight_kg,fragility_level,is_liquid,premium_level,material_id,material_name,material_type,strength,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,base_cost_per_unit,shipping_category,region_market,strength_norm,weight_capacity_kg_norm,biodegradability_score_norm,co2_emission_score_norm,recyclability_percent_norm,base_cost_per_unit_norm,co2_impact_index,cost_efficiency_index,material_suitability_score
1,eyeliner_product_1,eyeliner,0.394,low,0,2,2,Travel-Size Mini Tube,Other,7,1.16,64.65,61.04,68.32,4.1,standard,Asia,0.5,0.663722026,0.680526316,0.547663551,0.488187619,0.11,0.2688,3.534482756,0.371157895
2,compact_product_2,compact,0.108,low,0,1,15,PCR Plastic Lotion Bottle,Plastic,7,0.261,23.37,52,41.87,7.9,express,Asia,0.5,0.134275618,0.246,0.426969292,0.032074496,0.49,0.31065,30.26819912,0.1268
3,cream_product_3,cream,0.347,high,0,2,111,Sugarcane Bioplastic Tube,Bioplastic,7,0.995,84.25,39.14,42.93,7.74,standard,Other,0.5,0.566548881,0.886842105,0.255273698,0.050353509,0.474,0.17675,7.778894465,0.323852632
4,mascara_product_4,mascara,0.144,high,0,2,14,Refillable Glass Foundation Bottle,Glass,7,0.425,5.68,60.94,91.06,8.7,standard,Europe,0.5,0.230859835,0.059789474,0.546328438,0.880324194,0.57,0.1541,20.47058819,0.046936842
5,mascara_product_5,mascara,0.042,low,0,1,15,Recycled Glass Perfume Bottle,Glass,6,0.077,5.87,88.96,85.18,7.66,standard,Asia,0.25,0.025912839,0.061789474,0.920427236,0.778927401,0.466,0.4637,99.48051819,-0.021263158
6,foundation_product_6,foundation,0.21,medium,1,1,41,FSC Paperboard Carton,Paper/Paperboard,8,0.699,88.23,39.28,62.59,4.43,standard,Asia,0.75,0.392226148,0.928736842,0.257142857,0.389377479,0.143,0.07985,6.33762517,0.535721053
7,foundation_product_7,foundation,0.066,medium,1,1,1,Recycled PP Compact Case,Plastic,8,0.194,36.05,54.17,44.78,6.85,express,Europe,0.75,0.094817432,0.379473684,0.455941255,0.082255561,0.385,0.3178,35.30927817,0.298342105
8,eyeliner_product_8,eyeliner,0.271,medium,0,2,143,Recycled Glass Perfume Bottle,Glass,8,0.816,8.96,74.26,84.08,10.17,standard,Asia,0.75,0.461130742,0.094315789,0.724165554,0.759958614,0.717,0.3222,12.46323528,0.113194737
9,lipstick_product_9,lipstick,0.159,low,0,1,75,Refillable Acrylic Jar,Plastic,7,0.342,8.69,53.7,48.74,5.67,fragile,North America,0.5,0.181978798,0.091473684,0.449666222,0.150543197,0.267,0.2933,16.57894732,0.147342105
10,eyeliner_product_10,eyeliner,0.455,low,0,1,51,PETG Lotion Bottle,Plastic,7,0.928,35.13,40.21,60.43,5.67,express,Asia,0.5,0.527090695,0.369789474,0.269559413,0.352129678,0.267,0.09995,6.109913787,0.230836842
11,mascara_product_11,mascara,0.125,low,0,2,113,Biodegradable PBAT Pouch,Bioplastic,7,0.437,88.87,37.55,54.92,6.2,standard,Asia,0.5,0.237926973,0.935473684,0.234045394,0.257113295,0.32,0.1009,14.18764299,0.384642105
12,serum_product_12,serum,0.045,medium,1,1,123,PCR Plastic Lotion Bottle,Plastic,8,0.089,23.58,53.43,62.12,6.37,fragile,Asia,0.75,0.032979976,0.248210526,0.446061415,0.381272633,0.337,0.2237,71.5730329,0.273363158
13,compact_product_13,compact,0.492,medium,0,1,147,Squeezable Silicone Tube,Plastic,7,1.438,16.23,45.6,41.63,6.36,fragile,North America,0.5,0.827444051,0.170842105,0.341522029,0.027935851,0.336,0.24785,4.422809455,0.150452632
14,cream_product_14,cream,0.104,medium,0,2,42,Glass Cosmetic Jar,Glass,6,0.21,6.76,82.06,75.23,9.25,standard,Other,0.25,0.104240283,0.071157895,0.828304406,0.607346094,0.625,0.44445,44.04761884,-0.066152632
15,toner_product_15,toner,0.483,high,1,2,120,PCR Plastic Lotion Bottle,Plastic,7,1.582,17.22,61.78,75.88,7.55,fragile,Asia,0.5,0.912249705,0.181263158,0.557543391,0.618554923,0.455,0.2384,4.772439946,0.117878947
16,lipstick_product_16,lipstick,0.397,high,0,2,54,Recycled PET Bottle,Plastic,7,0.952,28.22,40.15,46.43,6.19,express,Asia,0.5,0.54122497,0.297052632,0.268758344,0.110708743,0.319,0.16935,6.502100834,0.193415789
17,foundation_product_17,foundation,0.134,medium,1,1,119,Compostable Pouch with Valve,Bioplastic,8,0.268,81.63,39.24,56.28,7.04,express,Europe,0.75,0.138398115,0.859263158,0.256608812,0.280565615,0.404,0.111,26.26865662,0.436578947
18,compact_product_18,compact,0.448,low,0,2,4,Window Cutout Paperboard Box,Paper/Paperboard,8,0.694,86.72,41.6,68.06,5,express,Europe,0.75,0.389281507,0.912842105,0.28811749,0.483704087,0.2,0.0757,7.204610941,0.513852632
19,serum_product_19,serum,0.246,high,1,1,116,Recycled HDPE Tube,Plastic,7,0.514,37.49,52.85,78.67,7.85,fragile,North America,0.5,0.28327444,0.394631579,0.438317757,0.666666667,0.485,0.13515,15.27237351,0.172889474
20,lip_balm_product_20,lip_balm,0.172,high,0,1,127,Recycled Aluminum Deodorant Stick,Aluminum,8,0.436,4.65,71.76,79.81,11.03,express,Other,0.75,0.237338045,0.048947368,0.690787717,0.686325228,0.803,0.31855,25.29816508,0.07378421
21,lotion_product_21,lotion,0.355,medium,1,2,135,Magnetic Closure Paperboard Box,Paper/Paperboard,7,0.889,80.49,26.41,81.4,3.33,standard,Asia,0.5,0.504122497,0.847263158,0.085313752,0.713743749,0.033,-0.1429,3.745781773,0.444278947
22,lipstick_product_22,lipstick,0.21,low,0,1,63,Aluminium Spray Bottle,Aluminum,8,0.727,0.47,84.46,75.83,9.79,fragile,Asia,0.75,0.408716136,0.004947368,0.860347129,0.617692706,0.679,0.46545,13.46629984,0.09778421
23,compact_product_23,compact,0.039,low,0,1,116,Frosted Glass Serum Bottle,Glass,6,0.091,2.72,88.96,81.43,11.05,express,Asia,0.25,0.034157833,0.028631579,0.920427236,0.714261079,0.805,0.48245,121.4285701,-0.132910526
24,cream_product_24,cream,0.488,medium,0,2,62,Stackable Sample Pot,Plastic,9,1.548,20.17,62.32,50.03,4.74,standard,North America,1,0.892226148,0.212315789,0.564753004,0.172788412,0.174,0.37305,3.062015502,0.411494737
